Author,Review,Profession,Date,NumberOfStars
Павел И.,"Лучший автосалон какой только видел в своей жизни! Персонал специалисты! Клиентам очень нравится. Рекомендую всем. Езжу туда за 1200 ки, в своём регионе салоны ,, Красный лапоть,,.Спасибо руководству салона и всему персоналу. Всем рекомендую!",Знаток города 10 уровня,4 октября 2019,5
Кристина Б.,"Прекрасный автосалон . Приветливый персонал , девочки на ресепшене просто класс )) в салоне работают квалифицированные продавцы . Делают приятные скидки )",Знаток города 2 уровня,10 ноября 2019,5
Мария С.,"Единица для этого салона это много. с таким отношением к клиентам у Мерседеса явно будет преимущество. позвонила записаться на тест драйв, обещали уточнить, так и не перезвонили. когда со второй попытки все же удалось туда приехать, в назначенное время нас никто не ждал, 20 минут прождали, пока девочки разыскивали менеджера. вышел чесесчур ""деловой"" менеджер Дмитрий, сказал, что вообще это не он нас записывал, а его подозвали. короче настроение испорчено, поехали лучше на Дзержинского.",Знаток города 6 уровня,4 января,1
Marusja M.,"пока для меня эт - лучший дилерский центр BMW: профессиональный подход, доброжелательность, культура. Держат планку - соответствуют марке, которую предлагают. I love BMW",Знаток города 5 уровня,27 февраля,5
Александр ...,"Хороший сервис и внимательный персонал. Очень понравился в общении менеджер Дмитрий. Большое ему спасибо за подбор автомобиля.Александр, Симферополь.",Знаток города 11 уровня,22 октября 2019,5
Анастасия Субботина,"Это жесть, оставить машину на срочный ремонт только по записи, ждать 2-3 дня! Предлагают оставлять на открытой парковке на свой страх и риск. По хорошему не договориться, бесполезно! Пришлось 2 раза отъезжать на пару км и вызывать помощь на дороге, чтобы эвакуировали, тогда забирают без вопросов. Зато потом колл-центр названивает - устраивает ли Вас качество сервиса",Знаток города 9 уровня,26 февраля,1
Вадим М.,Очень чистый премиальный автосалон. Все сотрудники с уважением помогут с любым вопросом. Очень приятно обслуживаться в этом центре,Знаток города 2 уровня,12 марта,5
Сергей Л.,"Отвратильные менеджеры ни здравствуйте ни досвидания ,вместо реальных предложений, говорят цитата: здесь сказок не бывает ,пришёл с деньгами, но после разговора с менеджером желание Покупать автомобиль принципиально пропало наглядное пособие как общаться с клиентами так чтобы они от вас уходили",Знаток города 3 уровня,20 ноября 2019,1
Вячеслав М.,"Прекрасный Автосалон. Уважительный, приветливый персонал. Прекрасное обслуживание. Всем советую",Знаток города 6 уровня,17 января,5
николай петрухин,"Вежливый персонал, люди которые дорожат своим именем. И очень хороший выбор авто, на любой вкус и цвет.",Знаток города 4 уровня,6 февраля,5
касимов в.,Не понятно..все деловые ..отдал машину в ремонт и все молчат..нужно клещами инфо от них вытаскивать..есть и получше их ( хотя они рапиарены) но думаю не надолго!@,Знаток города 7 уровня,7 ноября 2019,3
Yuri S.,"Приехали с другом. Было ощущение что в салоне все вымерли. Никто не подошёл, не поинтересовался что мы хотим. На тест драйв надо записываться за день или два.",Знаток города 4 уровня,25 ноября 2019,2
Леонид К.,При входе в салон никто не встречает и не здоровается. Также пройдя 10 минут по салону не подошёл ни один человек. Очень темно и грустно.,Знаток города 3 уровня,27 октября 2019,2
Антон К.,"Ранее проходил сервис по отзывной компании Бмв в начале декабря 2018г. Записывался заранее, но одной детали все-же не оказалось. Пообещали заказать и вызвать повторно на сервис, но увы... Сам позвонил в марте и записался, деталь была. Единственный плюс, компенсация в виде акции "" Добро пожаловать в семью"" по которой бесплатно меняют масло в двигателе (включая само масло и фильтр)",Знаток города 4 уровня,18 марта 2019,4
Моя П.,"Отдел продаж порадовал, Алексей и Григорий молодцы! Спасибо",Знаток города 2 уровня,27 октября 2019,5
Гамлет Г.,"Надёжный сервис, и дрбропорядочные работники, удачи и процветания.",Знаток города 3 уровня,28 октября 2019,5
A,"Проведённая диагностика моего автомобиля БМВ х5 не дала ни каких результатов. Ошибок нет, а расход топлива 25-27 литров. Ранее расход был 16-19 литров. Проблема не решена.",Знаток города 3 уровня,24 сентября 2019,1
Андрей,"Записывался через официальный сайт БМВ на ТО за две недели до посещения, в итоге прозвонил за день до назначенной даты в бакру, сказали, что никакой записи от меня не поступало, и меня не примут. Только заново регистрироваться по телефону (в 2019 году, ага) и ближайшая дата через неделю, что совсем меня не устраивало. Пришлось ехать в модус",Знаток города 8 уровня,16 октября 2019,2
Александр Д.,"Молодцы! На фоне других дилеров BMW, всегда стараются для Клиентов",Знаток города 7 уровня,9 февраля,5
игорь щ.,"Приятный персонал, можно хорошо торговаться",Знаток города 4 уровня,24 февраля,5
Евгений Д.,"Проходил ТО на 520i понравилось что не грузили лишними расходами, что обычно для других дилеров. К примеру, не буду говорить где, но у другого ОД при очередном ТО сказали что надо срочно менять тормозные диски по кругу, а здесь попросил посмотреть: сказали что ещё можно смело 15-25 тысяч проехать.",Знаток города 3 уровня,24 декабря 2018,5
Елена О.,"Менеджеры не обращают внимание на покупателей. Приехали выбрать машину, никто не подошёл. Сами обращались к нескольким менеджерам, обещали уделить внимание позже, прождав 15 минут, уехали в другой салон, там и купили. Наверное в Бакре и так хорошо с продажами, что они не парятся.",Знаток города 5 уровня,30 января 2019,2
Николай Г.,"Был на первом ТО, всё хорошо без проволочек,быстро.",Знаток города 2 уровня,28 ноября 2019,5
Ксения Алексеева,"Приятно находиться, нет назойливых консультантов",Знаток города 11 уровня,16 октября 2019,5
Роман А.,Покупал и обслуживал там авто. Всё на высшем уровне,Знаток города 2 уровня,24 января,5
Илья З.,"Самый ужасный автодидер BMW, менеджеры хамы, цены завышают,очень дорогой сервис",Знаток города 6 уровня,14 октября 2019,1
Марина Кравчук,"Качественный сервис,быстрое обслуживание",Знаток города 3 уровня,6 ноября 2019,5
Алексей Финько,Уютно Хороший кофеСвоя атмосфера,Знаток города 4 уровня,30 ноября 2019,5
